"oil_spill_id","From","jiv_number","date_reported","date_spill","date_spill_clean","jiv_date","facility_equipment/incident_site","area/terrain","cause","volume","cleanup_status","comments","lga","jiv_lookup_id","JIV.Asset.Id","JIV.Url","JIV.Cause.Verified","JIV.Location.Verified","JIV.Comment","Included","Monitors manual changes","JIV Location - reconstructed to monior manual changes in split data","Location.Type","Location.Unit","Lat/Northing","Long/Easting","Area","Area Unit","photo_lookup_id","Photo.Asset.Id","Photo.Url","Photo.Damage.Followup","map.type","map.description","map.lat","map.lon","Photo.Damage"
"11","shell","1315510","1/7/15","","","1/16/15 0:00","4'' Yokri Well 114L Flowline at Yokri","Swamp","Operational","34","Recovery completed on 11 Feb 2015, assessment completed on 20 Feb 2015, clean-up and remediation planned for March 2017","-","","11jiv","266","https://decoder.blob.core.windows.net/oil-spill-assets/data/266.pdf","42011 - 42020 - Corrosion - Operational","NEMB - DEC - 160718.48 - 311991.03 - 1.02 - ha","0","Y","No change","NEMB - DEC - 160718.48 - 311991.03 - 1.02 - ha","NEMB","DEC","160718.48","311991.03","1.02","ha","11photo","211","https://decoder.blob.core.windows.net/oil-spill-assets/data/211.pdf","Corrosion","WGS84","Converted from Nigeria West Belt",5.453437871740648,5.233352929181653,
"12","shell","1376960","4/8/15","","","5/15/15 0:00","16'' Tunu-Brass Creek Pipeline at Agbidiama","Swamp","Sabotage","5","Spill was contained on 20 Mar 2015, recovery completed on 15 May 2015, assessment completed on 17 Jun 2015, clean-up and remediation planned for February 2017","-","","12jiv","408","https://decoder.blob.core.windows.net/oil-spill-assets/data/408.pdf","2015-03-20 - 2015-05-15 - Crude oil theft/ illegal bunkering - Other - Third party interference - Crude theft","LLWGS - DEC - 4.91443 - 5.6135 - 0.065 - ha","4""weld-on illegal hot-tap valve at 12 o'clock. ","Y","No change","LLWGS - DEC - 4.91443 - 5.6135 - 0.065 - ha","LLWGS","DEC","4.91443","5.6135","0.065","ha","12photo","346","https://decoder.blob.core.windows.net/oil-spill-assets/data/346.pdf","N/A","WGS84","",4.91443,5.6135,
"13","shell","1588855","3/5/16","","","3/8/16 0:00","Soku Well 21L Wellhead at Soku","Water","Sabotage","0.8","Spill was contained on 04 Mar 2016, no recoverable oil found, assessment completed on 17 Mar 2017, clean-up and remediation not required, site certification planned for July 2017","-","","13jiv","267","https://decoder.blob.core.windows.net/oil-spill-assets/data/267.pdf","42433 - 42437 - Others - Third party interference; sabotage","LLWGS - DEC - 4.658493 - 6.636715 - 3.908 - ha","0","Y","No change","LLWGS - DEC - 4.658493 - 6.636715 - 3.908 - ha","LLWGS","DEC","4.658493","6.636715","3.908","ha","13photo","212","https://decoder.blob.core.windows.net/oil-spill-assets/data/212.pdf","Not enough details","WGS84","",4.658493,6.636715,
"14","shell","862595","9/4/12","","","10/5/12 0:00","10'' Kokori Delivery line at Awhire","Land","Operational","8","Containment in place. Recovery commenced on 16th October 2012 and was completed on 30th October 2012. Initial Cleanup of residual impacted area was completed on 12th February 2013. Remediation was completed on 5th April 2013.","JIV was delayed due to flooding of the spill site. Recovery was delayed due to community issues. Site Certification completed on 16th May 2013.","","14jiv","1250","https://decoder.blob.core.windows.net/oil-spill-assets/data/1250.pdf","2012-09-04 - 2012-10-05 - Corrosion - Operational","NEMB - DEC - 178820 - 405090 - 2790 - met","","Y","No change","NEMB - DEC - 178820 - 405090 - 2790 - met","NEMB","DEC","178820","405090","2790","met","14photo","1168","https://decoder.blob.core.windows.net/oil-spill-assets/data/1168.pdf","Not enough details","WGS84","Converted from Nigeria West Belt",5.615509940151375,6.073900061430683,
"15","shell","874116","10/1/12","","","10/5/12 0:00","28'' Trans Niger Pipeline at Okolo","Swamp","Sabotage / Theft","88.4","Recovery of spilled volume commenced on 9th October 2012 and was completed on 24th October 2012. Initial cleanup of residual impacted area completed on 10th June 2013.","JIV commenced on 5th October 2012 and was completed on 20th October 2012. JIV delayed to enable extinguishing of fire on sea going tanker loaded with stolen crude. Site certification was completed on 20th August 2013.","","15jiv","272","https://decoder.blob.core.windows.net/oil-spill-assets/data/272.pdf","2012-09-30 - 2012-10-05 - Failed weld-on illegal hot tap valve - Crude oil theft/ illegal bunkering - Third party interference","NEMB - DEC - 55837.36 - 528931.00 - 10.626 - ha","14 different location points. 88 Barrels net spill. Date incident 20-09-2012 Date end investigation:  20-10-2012. Area oil spill over 10 ha. Not cleaned up at this date.","Y","No change","NEMB - DEC - 55837.36 - 528931.00 - 10.626 - ha","NEMB","DEC","55837.36","528931.00","10.626","ha","15photo","217","https://decoder.blob.core.windows.net/oil-spill-assets/data/217.pdf","N/A","WGS84","Converted from Nigeria West Belt",4.500155623438919,7.186583469187079,
"16","shell","1778297","1/3/17","","","1/5/17 0:00","28'' Nkpoku-Bomu Trans Niger Pipeline at Kpor","Land","Sabotage","68","Recovery completed on 07 Jan 2017, assessment planned for April 2017","-","","16jiv","152","https://decoder.blob.core.windows.net/oil-spill-assets/data/152.pdf","2017-01-03 - 2017-01-05 - Hack saw cut - Third party interference - Sabotage","LLWGS - DEC - 4.65075 - 7.27719 - 0.02 - ha","","Y","No change","LLWGS - DEC - 4.65075 - 7.27719 - 0.02 - ha","LLWGS","DEC","4.65075","7.27719","0.02","ha","16photo","111","https://decoder.blob.core.windows.net/oil-spill-assets/data/111.pdf","N/A","WGS84","",4.65075,7.27719,
"17","shell","","11/1/16","","","11/4/16 0:00","18'' Assa-Rumuekpe Pipeline at Egbeda","Land","Sabotage","202","Recovery completed on 16 Nov 2016, assessment completed on 13 Dec 2016, clean-up and remediation planned for August 2017","-","","17jiv","jiv missing","N, jiv missing","N, jiv missing","N, jiv missing","","N, photo missing","No change","N, jiv missing","N, jiv missing","N, jiv missing","N, jiv missing","N, jiv missing","N, jiv missing","N, jiv missing","17photo","photo missing","","photo missing","Unknown","",0,0,
"18","shell","822915","6/4/12","","","6/7/12 0:00","18'' Assa - Rumuekpe Trunkline at Omudioga.","Land","Sabotage / Theft","2","Recovery of spilled volume was completed on 7th June 2012. Initial Cleanup of residual impacted area was completed on 18th August 2012. Remediation was completed on 6th September 2012.","Site certification completed on 10th October 2012.","","18jiv","1167","https://decoder.blob.core.windows.net/oil-spill-assets/data/1167.pdf","2012-06-03 - 2012-06-07 - Failed weld-on illegal hot tap valve - Crude oil theft/ illegal bunkering - Third party interference","NEMB - DEC - 128099.07 - 476563.32 - 0.02 - ha","","Y","No change","NEMB - DEC - 128099.07 - 476563.32 - 0.02 - ha","NEMB","DEC","128099.07","476563.32","0.02","ha","18photo","1092","","N/A","WGS84","Converted from Nigeria West Belt",5.15494240632213,6.717158275963835,
"19","shell","953753","4/1/13","","","4/3/13 0:00","4'' Imo River Well 64L Flow line at Igiriukwu","Land","Sabotage","38","Spill was contained on 02 Apr 2013, recovery completed on 07 Apr 2013, assessment completed on 09 Apr 2013, clean-up and remediation completed on 06 Aug 2014, site certified on 28 Nov 2014","Spill occurred within an existing cleanup site (following a sabotage incident on 20th November 2012).","","19jiv","1028","https://decoder.blob.core.windows.net/oil-spill-assets/data/1028.pdf","2013-04-01 - 2013-04-03 - Hack saw cut - Missing pipeline/ flowline - Third party interference - Line theft","NEMB - DEC - 108490.42 - 524095.66 - 0.35 - ha","","Y","No change","NEMB - DEC - 108490.42 - 524095.66 - 0.35 - ha","NEMB","DEC","108490.42","524095.66","0.35","ha","19photo","944","https://decoder.blob.core.windows.net/oil-spill-assets/data/944.pdf","N/A","WGS84","Converted from Nigeria West Belt",4.976112756435881,7.144859653575249,
"20","shell","1000884","7/1/13","","","7/3/13 0:00","Imo River Well 22S Flowline at Igiriukwu","Land","Sabotage","112","Recovery completed on 21 Aug 2013, assessment completed on 09 Jan 2014, clean-up and remediation completed on 22 Apr 2014, site certified on 30 Aug 2014","-","","20jiv","805","https://decoder.blob.core.windows.net/oil-spill-assets/data/805.pdf","2013-07-01 - 2013-07-03 - Missing pipeline/ flowline - Third party interference - Line theft","NEMB - DEC - 108593.8 - 524604.2 - 1.24 - ha","2 spill locations","Y","No change","NEMB - DEC - 108593.8 - 524604.2 - 1.24 - ha","NEMB","DEC","108593.8","524604.2","1.24","ha","20photo","718","https://decoder.blob.core.windows.net/oil-spill-assets/data/718.pdf","N/A","WGS84","Converted from Nigeria West Belt",4.9770285060212665,7.149444989490815,
"21","shell","","1/7/11","","","1/9/11 0:00","Belema well 3 at Belema","Swamp / Water","Sabotage / Theft","69","Clean up of residual impacted areas completed on 28th January 2011.","Well was secured on 9th January 2011. No recoverable oil found on site, free phase oil was consumed by fire. Post Cleanup Inspection was carried out on 20th April 2011.","","21jiv","516","https://decoder.blob.core.windows.net/oil-spill-assets/data/516.pdf","2011-01-07 - 2011-01-09 - Well head tampering - Third party tampering with valve","NEMB - DMS - {degrees:04,minutes:23,seconds:25.6} - {degrees:006,minutes:39,seconds:22.2} - 0.7927 - ha","Comment: ""Wellhead burnt due to the fire incident"" ","Y","No change","NEMB - DMS - {degrees:04,minutes:23,seconds:25.6} - {degrees:006,minutes:39,seconds:22.2} - 0.7927 - ha","NEMB","DMS","{degrees:04,minutes:23,seconds:25.6}","{degrees:006,minutes:39,seconds:22.2}","0.7927","ha","21photo","457","https://decoder.blob.core.windows.net/oil-spill-assets/data/457.pdf","Fire","WGS84","Converted from Degrees Minutes Seconds",4.3904,6.6562,
"22","shell","1082130","12/3/13","","","12/4/13 0:00","6'' Obigbo North - Ebubu pipeline at Obolo","Land","Operational","90","Recovery completed on 20 Dec 2013, assessment completed on 13 May 2014, clean-up and remediation completed on 23 Aug 2014, site certified on 29 Oct 2014","-","","22jiv","646","https://decoder.blob.core.windows.net/oil-spill-assets/data/646.pdf","41610 - 41612 - Corrosion - Operational","NEMB - DEC - 86755.16 - 520604.50 - 0.4 - ha","0","Y","No change","NEMB - DEC - 86755.16 - 520604.50 - 0.4 - ha","NEMB","DEC","86755.16","520604.50","0.4","ha","22photo","587","https://decoder.blob.core.windows.net/oil-spill-assets/data/587.pdf","Circular","WGS84","Converted from Nigeria West Belt",4.779824396858158,7.112646375775225,
"23","shell","1517851","11/2/15","","","11/21/15 0:00","Tunu - Kanbo Well 4L at Agbidiama","Swamp","Sabotage","0.5","Spill was contained on 31 Oct 2015, no recoverable oil found, assessment completed on 22 Apr 2016, clean-up and remediation not required, site certification planned for March 2017","-","","23jiv","305","https://decoder.blob.core.windows.net/oil-spill-assets/data/305.pdf","2015-10-31 - 2015-11-21 - Well head tampering - Other - Third party interference - Sabotage","LLWGS - DEC - 4.88472 - 5.66328 - 70 - met","The cameron control unit on tunu-kanbo  well head 4l has been removed by unknown persons","Y","No change","LLWGS - DEC - 4.88472 - 5.66328 - 70 - met","LLWGS","DEC","4.88472","5.66328","70","met","23photo","273","https://decoder.blob.core.windows.net/oil-spill-assets/data/273.pdf","Other","WGS84","",4.88472,5.66328,
"24","shell","721661","10/1/11","","","10/3/11 0:00","6'' Obigbo North Pipeline at Ogale","Land","Sabotage / Theft","0.87","No recoverable oil was found on site.","JIV recommends no cleanup action required. Closed.","","24jiv","1035","https://decoder.blob.core.windows.net/oil-spill-assets/data/1035.pdf","2011-10-01 - 2011-10-03 - Hack saw cut - Third party interference","NEMB - DEC - 92334.74 - 521561.57 - 47 - met","","Y","No change","NEMB - DEC - 92334.74 - 521561.57 - 47 - met","NEMB","DEC","92334.74","521561.57","47","met","24photo","951","https://decoder.blob.core.windows.net/oil-spill-assets/data/951.pdf","N/A","WGS84","Converted from Nigeria West Belt",4.8302119630854605,7.121459365572187,
"25","shell","1207544","7/2/14","","","7/3/14 0:00","8'' Umuechem - Nkpoku Pipeline at Omunwei","Land","Sabotage","17","Spill was contained on 01 Jul 2014, recovery completed on 03 Jul 2014, assessment completed on 04 Aug 2014, clean-up and remediation completed on 21 Nov 2014, site certified on 30 Mar 2015","-","","25jiv","1174","https://decoder.blob.core.windows.net/oil-spill-assets/data/1174.pdf","2014-07-02 - 2014-07-03 - Failed weld-on illegal hot tap valve - Crude oil theft/ illegal bunkering - Third party interference","NEMB - DEC - 108532.44 - 506981.70 - 0.03 - ha","The spill point was observed to have occurred on a cleared right of way and outside the right of way","Y","No change","NEMB - DEC - 108532.44 - 506981.70 - 0.03 - ha","NEMB","DEC","108532.44","506981.70","0.03","ha","25photo","1098","https://decoder.blob.core.windows.net/oil-spill-assets/data/1098.pdf","N/A","WGS84","Converted from Nigeria West Belt",4.977094169284823,6.990666203784377,
"26","shell","1116782","2/6/14","","","2/11/14 0:00","28'' Nkpoku - Bomu Pipeline at Aleto","Land","Sabotage","0.4","Spill was contained on 11 Feb 2014, no recoverable oil found, assessment completed on 10 Mar 2014, clean-up and remediation completed on 28 Aug 2014, site certified on 28 Oct 2014","-","","26jiv","414","https://decoder.blob.core.windows.net/oil-spill-assets/data/414.pdf","2014-02-05 - 2014-02-11 - Crude oil theft/ illegal bunkering - Third party interference - Crude theft","NEMB - DEC - 89347.49 - 515900.24 - 0.005 - ha","","Y","No change","NEMB - DEC - 89347.49 - 515900.24 - 0.005 - ha","NEMB","DEC","89347.49","515900.24","0.005","ha","26photo","352","https://decoder.blob.core.windows.net/oil-spill-assets/data/352.pdf","N/A","WGS84","Converted from Nigeria West Belt",4.803411575639112,7.07036218163157,
"27","shell","735234","11/1/11","","","11/3/11 0:00","24'' Trans Ramos Pipeline Right of Way at Aghoro","Swamp","Others","1.3","No recoverable oil was found on site. Initial Cleanup of residual impacted area was completed on 1st May 2012.","Mystery spill (Joint investigation team could not establish the source of spill). Post Cleanup inspection completed on 18th May 2012.","","27jiv","649","https://decoder.blob.core.windows.net/oil-spill-assets/data/649.pdf","2011-10-28 - 2011-11-03 - Other","NEMB - DEC - 124671 - 332394 - 384 - met","Mystery spill; No location recorded but retrieved from boundaries of impacted area","Y","No change","NEMB - DEC - 124671 - 332394 - 384 - met","NEMB","DEC","124671","332394","384","met","27photo","590","https://decoder.blob.core.windows.net/oil-spill-assets/data/590.pdf","Not enough details","WGS84","Converted from Nigeria West Belt",5.127141546137416,5.417006982320157,
"28","shell","629874","3/2/11","","","3/4/11 0:00","16'' Egbema-Assa Pipeline at Assa","Land","Sabotage/ Theft","0.75","No recoverable oil was found on site. Cleanup of residual impacted areas completed on 4th March 2011.","Post Cleanup Inspection was carried out on 29th April 2011.","","28jiv","650","https://decoder.blob.core.windows.net/oil-spill-assets/data/650.pdf","2011-03-02 - 2011-03-04 - Drilled hole - Crude oil theft/ illegal bunkering","NEMB - DEC - 152829.823 - 481787.579 - 24 - met","After joint investigation of the incident, spill was found to be due to third part interference.","Y","No change","NEMB - DEC - 152829.823 - 481787.579 - 24 - met","NEMB","DEC","152829.823","481787.579","24","met","28photo","591","https://decoder.blob.core.windows.net/oil-spill-assets/data/591.pdf","N/A","WGS84","Converted from Nigeria West Belt",5.378315196238657,6.765061934269613,
"29","shell","838220","7/3/12","","","7/10/12 0:00","Opukushi Well 24T Flowline ROW","Swamp","Operational","35.7","Recovery of spilled volume commenced on 4th July 2012 and was completed 23rd July 2012. Initial cleanup of residual impacted area was completed on 14th October 2012.","Site certification completed on 21st November 2012.","","29jiv","725","https://decoder.blob.core.windows.net/oil-spill-assets/data/725.pdf","2012-07-03 - 2012-07-10 - Corrosion - Operational","NEMB - DEC - 101018 - 371604 - 263.556 - met","","Y","No change","NEMB - DEC - 101018 - 371604 - 263.556 - met","NEMB","DEC","101018","371604","263.556","met","29photo","651","https://decoder.blob.core.windows.net/oil-spill-assets/data/651.pdf","Corrosion","WGS84","Converted from Nigeria West Belt",4.912622403266515,5.77024451151737,
"30","shell","972834","5/2/13","","","5/3/13 0:00","4'' Adibawa North East Well 1L Flowline at Biseni","Land","Sabotage","11","Recovery completed on 23 May 2013, assessment completed on 30 May 2013, clean-up and remediation completed on 26 Oct 2013, site certified on 30 Oct 2013","-","","30jiv","1103","https://decoder.blob.core.windows.net/oil-spill-assets/data/1103.pdf","2013-05-02 - 2013-05-03 - Hack saw cut - Third party interference - Sabotage","NEMB - DEC - 139262.70 - 451417.18 - 0.04 - ha","","Y","No change","NEMB - DEC - 139262.70 - 451417.18 - 0.04 - ha","NEMB","DEC","139262.70","451417.18","0.04","ha","30photo","1040","https://decoder.blob.core.windows.net/oil-spill-assets/data/1040.pdf","N/A","WGS84","Converted from Nigeria West Belt",5.256617944470551,6.490774219048079,
"31","shell","1726801","10/6/16","","","10/7/16 0:00","28'' Nkpoku-Bomu Pipeline at Kporghor-Ekporo-Gbam","Land","Sabotage","0.9","No recoverable oil found, assessment completed on 03 Nov 2016, clean-up and remediation planned for May 2017","-","","31jiv","177","https://decoder.blob.core.windows.net/oil-spill-assets/data/177.pdf","2016-10-05 - 2016-10-07 - Crude oil theft/ illegal bunkering - Third party interference - Crude theft","LLWGS - DEC - 4.72016 - 7.22342 - 0.004 - ha","Additional observations around the spill point: The spill point (confirmed as a 6"" crude oil theft point) was observed at a distance of 3.42 meters from a 4"" non-leaking blind-flanged crude oil theft point. ","Y","No change","LLWGS - DEC - 4.72016 - 7.22342 - 0.004 - ha","LLWGS","DEC","4.72016","7.22342","0.004","ha","31photo","153","https://decoder.blob.core.windows.net/oil-spill-assets/data/153.pdf","N/A","WGS84","",4.72016,7.22342,
"32","shell","1628084","5/4/16","","","10/31/16 0:00","20'' Otumara-Escravos Pipeline at Ogidigben","Swamp","Sabotage","44","Recovery completed on 06 Nov 2016, assessment completed on 09 Dec 2016, clean-up and remediation planned for May 2017","-","","32jiv","219","https://decoder.blob.core.windows.net/oil-spill-assets/data/219.pdf","2016-05-03 - 2016-10-31 - Third party tampering with clamp - Third party interference - Sabotage","LLWGS - DEC - 5.558821 - 5.202319 - 0.15 - ha","It took almost 6 months before investigation started. Spilled volume 44 barrels..","Y","No change","LLWGS - DEC - 5.558821 - 5.202319 - 0.15 - ha","LLWGS","DEC","5.558821","5.202319","0.15","ha","32photo","178","https://decoder.blob.core.windows.net/oil-spill-assets/data/178.pdf","Clamp","WGS84","",5.558821,5.202319,
"33","shell","1553435","1/5/16","","","2/4/16 0:00","16'' Nun-River - Kolocreek Pipeline at Aguobiri","Swamp","Sabotage","3","Spill was contained on 05 Feb 2016, recovery completed on 05 Feb 2016, assessment completed on 16 Feb 2016, clean-up and remediation planned for July 2017","-","","33jiv","276","https://decoder.blob.core.windows.net/oil-spill-assets/data/276.pdf","2016-01-05 - 2016-02-04 - Hack saw cut - Third party interference - Sabotage","LLWGS - DEC - 4.82562 - 6.15356 - 0.0005 - ha","","Y","No change","LLWGS - DEC - 4.82562 - 6.15356 - 0.0005 - ha","LLWGS","DEC","4.82562","6.15356","0.0005","ha","33photo","220","https://decoder.blob.core.windows.net/oil-spill-assets/data/220.pdf","N/A","WGS84","",4.82562,6.15356,
